EmployeeID,EmployeeName,Age,Gender,Location,Department,Role,YearsAtCompany,DateOfJoining,YearsInCurrentRole,EducationLevel,MonthlySalaryINR,WorkHoursPerWeek,ProjectsHandled,TrainingHoursLastYear,SickLeavesLastYear,OvertimeHoursLastMonth,ManagerRating,DisciplinaryNotices,PolicyViolationsLastYear,PerformanceRating,PromotionLast2Years,ComplianceRiskLevel,AttritionRisk
2024,Swati Tiwari,34,Male,Mumbai,Finance,Engineer,2,10/7/2023,2,Bachelor,55828,54,8,102,9,24,2,3,0,1,No,High,High
2025,Neha Patel,26,Female,Chennai,Compliance,Executive,1,12/18/2024,0,Bachelor,25022,53,6,103,14,0,3,0,0,1,No,Low,Medium
2026,Riya Ghosh,30,Female,Pune,Legal,Analyst,0,8/19/2025,0,Master,49742,54,8,41,6,26,3,0,0,2,No,Low,Low
2027,Pooja Chopra,41,Male,Pune,Engineering,Engineer,1,11/4/2024,1,Bachelor,51721,53,6,32,4,7,2,1,0,1,Yes,Low,Medium
2028,Ankit Chatterjee,36,Male,Ahmedabad,Finance,Engineer,3,7/30/2022,0,Bachelor,76015,43,4,71,0,16,3,2,0,1,No,Medium,Low
2029,Rakesh Ghosh,40,Male,Ahmedabad,Engineering,Engineer,3,12/18/2022,1,Bachelor,64076,54,9,74,11,0,2,0,0,1,No,Low,Medium
2030,Suresh Mukherjee,29,Male,Hyderabad,HR,Executive,2,8/28/2023,0,Master,33895,58,10,35,0,25,3,0,2,1,No,Medium,Medium
2031,Kavita Rao,25,Female,Gurgaon,Finance,Analyst,1,9/1/2024,0,Bachelor,57310,51,9,21,11,0,3,0,0,2,No,Low,Low
2032,Pallavi Iyer,42,Male,Gurgaon,Legal,Senior Engineer,5,8/15/2020,5,Bachelor,135739,46,3,14,6,17,4,1,0,2,Yes,Low,Medium
2033,Vivek Reddy,43,Female,Noida,Engineering,Engineer,4,11/28/2021,0,Master,76760,49,1,119,3,19,4,0,2,2,No,Medium,Low
2034,Riya Saxena,36,Female,Hyderabad,HR,Executive,2,12/23/2023,1,Diploma,39947,40,9,32,7,14,3,0,0,2,No,Low,Low
2035,Varun Chopra,40,Male,Hyderabad,Finance,Engineer,3,10/7/2022,2,Bachelor,78097,56,5,45,12,36,3,0,0,2,Yes,Low,Low
2036,Aarti Agarwal,49,Female,Delhi,Marketing,Manager,8,11/8/2017,1,Diploma,206386,56,2,44,10,10,3,1,0,1,No,Medium,Medium
2037,Neha Kulkarni,29,Female,Ahmedabad,Engineering,Executive,2,11/17/2023,1,Bachelor,31261,48,7,49,14,0,3,1,0,1,No,Low,Medium
2038,Sneha Gupta,41,Female,Chennai,IT Support,Executive,2,1/8/2024,0,Master,30829,53,7,28,4,20,2,0,0,2,Yes,Low,Low
2039,Isha Malhotra,22,Male,Hyderabad,Legal,Analyst,0,9/26/2025,0,Bachelor,52933,49,10,45,8,9,2,0,0,1,No,Low,Medium
2040,Meena Rao,34,Female,Pune,Legal,Executive,1,12/15/2024,1,Master,38433,54,3,55,3,10,2,0,0,2,No,Low,Medium
2041,Arjun Deshpande,37,Female,Bangalore,IT Support,Engineer,3,12/12/2022,1,Diploma,47760,49,11,88,14,35,2,1,0,2,No,Medium,Medium
2042,Akash Malhotra,29,Male,Bangalore,Finance,Executive,2,1/22/2024,0,Master,27903,50,4,67,12,38,3,0,1,1,No,Low,High
2043,Tanya Gupta,31,Female,Noida,Operations,Senior Engineer,6,8/3/2019,1,Master,88895,54,4,49,6,22,2,1,0,1,No,Low,High
2044,Deepak Naidu,35,Female,Hyderabad,HR,Engineer,5,8/20/2020,4,Bachelor,65378,43,10,92,2,33,2,0,0,1,No,Low,Medium
2045,Gaurav Kumar,39,Male,Noida,Sales,Executive,2,12/21/2023,2,Bachelor,29086,44,7,95,14,4,3,1,0,1,No,Low,Medium
2046,Arjun Singh,42,Female,Chennai,Operations,Analyst,0,8/10/2025,0,Diploma,58372,54,3,47,8,7,2,0,0,2,No,Low,Low
2047,Rekha Iyer,44,Other,Pune,Marketing,Team Lead,12,9/16/2013,0,Bachelor,126819,59,5,63,0,2,4,1,0,3,No,Low,Low
2048,Rohit Banerjee,28,Female,Noida,Finance,Engineer,5,1/22/2021,3,Diploma,70309,50,11,19,9,21,4,0,0,3,Yes,Low,Low
2049,Rakesh Joshi,46,Female,Gurgaon,Legal,Executive,2,11/9/2023,2,Master,22507,43,3,31,0,15,2,0,0,1,No,Low,Medium
2050,Swati Ghosh,37,Male,Bangalore,Finance,Executive,2,11/7/2023,0,Bachelor,24088,59,10,34,4,10,2,0,0,1,No,Medium,High
2051,Vivek Bansal,43,Male,Ahmedabad,IT Support,Team Lead,12,9/29/2013,5,Bachelor,167016,48,7,84,14,39,3,1,0,2,Yes,Medium,Low
2052,Karan Mukherjee,39,Male,Chennai,Compliance,Manager,9,8/13/2016,4,Bachelor,188347,49,2,1,12,25,3,0,1,1,No,Medium,High
2053,Rekha Ghosh,62,Male,Chennai,Operations,Senior Manager,24,11/5/2001,1,Diploma,260056,53,2,30,1,34,5,0,1,3,Yes,Medium,Low
2054,Varun Gupta,25,Female,Mumbai,Engineering,Engineer,2,1/12/2024,1,Bachelor,76618,46,1,92,0,8,4,1,0,2,No,Medium,Low
2055,Vikas Jain,44,Female,Noida,Sales,Engineer,2,9/7/2023,1,Bachelor,48583,41,6,88,13,0,2,0,0,1,No,Low,High
2056,Sunita Kulkarni,41,Male,Ahmedabad,Marketing,Engineer,5,12/12/2020,1,Bachelor,46867,56,11,15,13,15,4,0,1,2,No,Medium,Medium
2057,Rakesh Verma,53,Male,Delhi,HR,Team Lead,9,12/8/2016,0,Diploma,159240,52,1,53,7,37,5,0,1,2,Yes,Low,Low
2058,Aarti Das,36,Female,Pune,Marketing,Senior Engineer,6,12/2/2019,1,Bachelor,92994,57,7,52,10,10,4,0,0,2,No,Low,Medium
2059,Isha Banerjee,33,Female,Mumbai,Compliance,Senior Engineer,9,8/13/2016,3,PhD,87765,43,7,22,13,35,3,0,2,1,No,Medium,High
2060,Akash Malhotra,45,Male,Chennai,Legal,Team Lead,8,1/8/2018,5,Bachelor,161744,58,2,78,10,24,4,0,1,2,No,Medium,Low
2061,Prashant Tripathi,54,Female,Pune,Operations,Manager,15,8/31/2010,2,Bachelor,204360,46,9,10,3,30,4,0,0,3,Yes,Low,Low
2062,Karan Sharma,33,Female,Gurgaon,HR,Senior Engineer,7,9/13/2018,0,Master,129725,46,8,79,0,29,2,0,0,2,Yes,Low,Medium
2063,Varun Chopra,28,Female,Delhi,Engineering,Analyst,2,11/7/2023,2,Bachelor,31393,50,7,16,0,34,3,0,0,2,No,Medium,Low
2064,Priya Mukherjee,45,Female,Delhi,Finance,Senior Engineer,7,8/30/2018,0,Master,106715,44,10,49,7,26,3,0,0,1,Yes,Low,Medium
2065,Deepak Rao,48,Female,Delhi,Engineering,Team Lead,7,9/21/2018,2,Bachelor,112137,54,1,113,2,3,4,1,0,2,Yes,Low,Medium
2066,Suresh Mehta,44,Female,Pune,HR,Team Lead,9,11/27/2016,4,Master,164602,40,2,32,1,22,4,0,0,2,Yes,Low,Low
2067,Nisha Singh,41,Male,Delhi,HR,Engineer,4,1/9/2022,1,Bachelor,71551,54,9,106,11,18,3,0,0,2,No,Low,Low
2068,Sneha Khanna,45,Male,Noida,Engineering,Senior Engineer,7,10/5/2018,5,Bachelor,81553,51,3,55,6,5,3,1,0,2,No,Low,Low
2069,Ashish Saxena,32,Male,Bangalore,Marketing,Senior Engineer,6,8/20/2019,1,Diploma,116891,56,10,2,7,16,2,0,0,2,Yes,Low,Low
2070,Rekha Gupta,56,Male,Chennai,Compliance,Manager,12,11/29/2013,1,Diploma,191488,59,2,36,0,24,4,0,0,3,Yes,Low,Low
2071,Priya Reddy,40,Male,Pune,IT Support,Engineer,1,8/13/2024,1,Diploma,74761,45,9,41,2,35,3,0,0,2,No,Low,Low
2072,Ashish Chatterjee,45,Male,Hyderabad,IT Support,Team Lead,7,10/26/2018,1,Bachelor,143436,59,6,98,9,19,4,0,0,3,No,Low,Low
2073,Shweta Tripathi,29,Male,Delhi,Compliance,Executive,0,8/14/2025,0,Master,37900,42,8,59,12,16,4,1,1,2,No,High,Low
2074,Sanjay Tiwari,45,Male,Ahmedabad,HR,Manager,8,10/15/2017,2,Bachelor,146503,58,4,28,14,10,4,0,1,1,No,Medium,Medium
2075,Mohit Mishra,32,Male,Chennai,Finance,Engineer,3,12/16/2022,2,Master,73610,51,1,54,10,16,3,0,0,1,No,Low,Low
2076,Swati Jain,42,Female,Gurgaon,Compliance,Engineer,5,9/24/2020,3,Bachelor,85267,46,10,35,6,17,2,0,1,1,No,Medium,Low
2077,Gaurav Chopra,33,Male,Gurgaon,IT Support,Analyst,1,9/11/2024,0,Bachelor,39162,43,2,100,5,31,3,0,0,2,Yes,Low,Low
2078,Prashant Agarwal,49,Female,Delhi,Legal,Senior Engineer,9,1/4/2017,2,Bachelor,139411,51,5,88,7,0,3,0,0,1,No,Low,Low
2079,Manish Gupta,27,Male,Pune,Finance,Analyst,2,8/28/2023,2,Bachelor,41693,59,11,69,1,17,1,0,0,1,No,Low,High
2080,Neha Singh,35,Male,Hyderabad,Operations,Manager,12,9/28/2013,0,Bachelor,201163,58,8,89,6,4,4,0,0,3,Yes,Low,Low
2081,Anjali Banerjee,24,Male,Chennai,Legal,Engineer,1,12/27/2024,1,Bachelor,83366,44,7,94,7,27,2,0,1,2,No,Low,Medium
2082,Anjali Sharma,35,Female,Noida,IT Support,Manager,11,10/12/2014,0,Bachelor,192730,49,3,82,13,6,5,0,0,2,Yes,Low,Low
2083,Rekha Tiwari,63,Female,Noida,Sales,Senior Manager,22,1/8/2004,5,Bachelor,273847,46,1,119,8,13,5,0,0,3,No,Low,Low
2084,Riya Kumar,48,Male,Gurgaon,Sales,Senior Engineer,8,1/13/2018,1,Bachelor,131264,47,6,79,10,2,5,2,0,2,No,Medium,Medium
2085,Ritu Malhotra,43,Female,Ahmedabad,Finance,Analyst,3,9/4/2022,1,Bachelor,58502,42,7,69,2,20,4,1,0,3,No,Medium,Low
2086,Amit Singh,41,Male,Ahmedabad,Marketing,Senior Manager,19,11/19/2006,0,Bachelor,214978,57,5,117,9,14,5,0,0,3,No,Low,Low
2087,Gaurav Chatterjee,37,Female,Hyderabad,HR,Senior Engineer,7,12/20/2018,5,Diploma,90121,45,10,30,7,21,3,0,1,1,No,Low,Medium
2088,Nikhil Mukherjee,35,Female,Bangalore,Legal,Engineer,2,8/18/2023,0,Master,84245,41,11,10,2,10,1,1,1,1,No,Medium,Medium
2089,Isha Bansal,26,Male,Hyderabad,HR,Engineer,1,12/8/2024,1,Bachelor,81692,43,7,55,0,22,2,0,0,1,No,Low,Medium
2090,Sanjay Kulkarni,39,Female,Bangalore,Operations,Senior Engineer,5,8/24/2020,0,Bachelor,97752,41,7,47,1,29,3,0,1,2,No,Medium,Medium
2091,Seema Mukherjee,37,Male,Hyderabad,Marketing,Manager,13,1/16/2013,1,Master,168168,48,3,99,11,10,5,1,0,2,No,Low,Low
2092,Suresh Reddy,54,Female,Bangalore,Operations,Senior Manager,15,10/14/2010,5,Bachelor,259336,49,8,44,2,22,5,1,1,3,Yes,Medium,Low
2093,Swati Khanna,29,Male,Delhi,HR,Analyst,2,8/30/2023,0,Bachelor,42902,58,4,72,13,12,2,1,1,1,No,High,High
2094,Ashish Khanna,37,Female,Gurgaon,Legal,Senior Engineer,7,10/6/2018,3,Bachelor,113098,59,3,62,2,18,3,2,0,3,Yes,Low,Low
2095,Ashish Patel,45,Male,Hyderabad,Operations,Senior Engineer,7,9/19/2018,3,Bachelor,88907,56,7,4,3,26,4,0,0,3,Yes,Low,Low
2096,Sunita Das,39,Male,Bangalore,HR,Engineer,5,8/14/2020,3,Master,76646,57,6,12,8,21,3,0,0,1,No,Low,Low
2097,Ashish Verma,52,Female,Pune,HR,Team Lead,10,10/31/2015,3,Diploma,104345,52,5,51,5,38,4,0,2,2,No,High,Medium
2098,Pooja Gupta,39,Female,Chennai,Finance,Senior Engineer,8,12/28/2017,1,Diploma,126789,52,11,28,14,32,3,1,2,1,No,High,Medium
2099,Kavita Reddy,26,Male,Mumbai,HR,Executive,1,10/7/2024,0,PhD,23206,59,10,2,0,16,3,0,0,1,No,Low,Medium
2100,Priya Patel,32,Male,Gurgaon,HR,Engineer,1,12/22/2024,1,Diploma,60445,46,11,54,11,10,3,0,0,2,Yes,Low,Medium
2101,Arjun Mukherjee,45,Male,Gurgaon,Compliance,Engineer,4,10/30/2021,1,Master,79589,57,9,107,1,38,3,0,0,2,No,Low,Low
2102,Suresh Patel,33,Male,Chennai,HR,Team Lead,6,11/28/2019,1,Bachelor,141025,47,4,27,6,9,4,0,0,3,Yes,Low,Low
2103,Amit Ghosh,45,Male,Chennai,Marketing,Analyst,1,10/3/2024,1,Diploma,45392,42,1,7,11,29,2,0,0,1,No,Low,Medium
2104,Manish Chatterjee,24,Male,Ahmedabad,Legal,Engineer,1,11/3/2024,1,Bachelor,85638,46,4,49,10,30,3,0,0,2,No,Low,Medium
2105,Ankit Chopra,49,Male,Bangalore,Legal,Team Lead,7,8/12/2018,5,PhD,121536,54,2,92,3,6,2,0,0,1,No,Low,High
2106,Simran Sharma,26,Female,Noida,Engineering,Executive,1,7/26/2024,1,Bachelor,23046,40,7,93,0,10,3,1,1,1,No,High,High
2107,Rakesh Mishra,43,Female,Gurgaon,Sales,Executive,0,11/18/2025,0,Master,29133,48,4,81,13,10,4,1,0,2,No,Low,Low
2108,Kavita Mukherjee,38,Female,Pune,Operations,Senior Engineer,4,9/2/2021,1,Diploma,124929,56,11,41,12,3,5,1,0,3,No,Low,Low
2109,Prashant Singh,37,Female,Gurgaon,IT Support,Senior Engineer,4,1/20/2022,0,Bachelor,112488,50,4,65,1,4,3,0,0,1,No,Low,High
2110,Ritu Chopra,48,Female,Hyderabad,Operations,Engineer,5,10/30/2020,3,Bachelor,56624,53,4,60,2,32,3,0,1,2,Yes,Medium,Low
2111,Tanya Chopra,45,Male,Hyderabad,Marketing,Engineer,3,10/19/2022,1,Bachelor,56460,57,6,92,8,36,4,0,0,2,No,Low,Medium
2112,Sunita Patel,38,Male,Bangalore,Sales,Analyst,2,9/15/2023,2,Master,44653,47,6,37,0,32,3,2,0,2,No,Low,Medium
2113,Deepak Mishra,41,Male,Mumbai,HR,Engineer,5,8/14/2020,3,Bachelor,72087,44,7,24,13,6,4,0,1,2,No,Medium,Low
2114,Rekha Reddy,32,Female,Delhi,IT Support,Engineer,2,10/1/2023,1,Bachelor,78338,55,7,100,7,4,3,0,0,1,No,Low,Low
2115,Sunita Rao,55,Female,Pune,HR,Manager,12,10/31/2013,3,Master,217533,58,8,73,14,1,5,0,1,2,Yes,Low,Medium
2116,Aarti Gupta,40,Male,Hyderabad,Sales,Manager,12,12/11/2013,1,Master,213414,48,8,14,9,32,5,1,0,3,No,Low,Low
2117,Manish Patel,32,Female,Delhi,Compliance,Senior Engineer,9,9/9/2016,5,Master,113836,45,6,47,14,0,5,2,1,3,No,High,Low
2118,Arjun Deshpande,34,Male,Noida,HR,Manager,10,11/16/2015,3,Bachelor,203695,57,7,95,5,17,5,0,0,3,Yes,Low,Low
2119,Ritu Rao,51,Female,Chennai,Engineering,Senior Engineer,7,10/15/2018,0,Diploma,88663,53,5,5,6,15,4,0,2,1,No,Medium,High
2120,Priya Naidu,35,Male,Bangalore,Engineering,Engineer,3,1/10/2023,2,Diploma,84830,52,4,68,1,1,1,1,0,1,No,Low,Medium
2121,Rahul Mehta,31,Female,Gurgaon,Sales,Senior Engineer,9,8/21/2016,0,Bachelor,111190,58,4,64,10,15,4,0,1,2,No,Medium,Low
2122,Meena Chopra,39,Female,Delhi,Sales,Engineer,2,12/18/2023,2,Bachelor,87175,50,6,89,6,23,3,0,0,1,No,Low,Medium
2123,Manish Kulkarni,44,Male,Delhi,Marketing,Engineer,1,12/23/2024,0,Bachelor,66550,47,1,45,9,10,3,1,0,1,No,Low,Medium
2124,Pallavi Saxena,33,Female,Hyderabad,Sales,Executive,1,9/20/2024,0,PhD,24366,48,9,38,13,2,4,0,0,2,No,Low,Medium
2125,Rahul Joshi,41,Male,Gurgaon,Legal,Executive,1,11/20/2024,0,Bachelor,28812,59,8,68,4,23,2,0,0,2,No,Low,Low
2126,Meena Malhotra,44,Female,Noida,Sales,Analyst,1,12/22/2024,0,Master,52546,45,4,117,8,12,1,0,0,1,No,Medium,Medium
2127,Vikas Kulkarni,53,Male,Ahmedabad,Compliance,Senior Engineer,9,10/4/2016,1,Bachelor,110985,53,9,79,9,5,4,1,0,1,No,Medium,Low
2128,Ritu Naidu,42,Female,Bangalore,Finance,Engineer,2,1/4/2024,2,Master,87619,40,6,88,13,1,4,0,1,2,No,Medium,Low
2129,Nikhil Saxena,26,Male,Noida,Engineering,Engineer,4,1/15/2022,3,Master,79114,57,5,59,8,1,3,0,0,2,No,Medium,Medium
2130,Priya Chopra,33,Female,Gurgaon,Finance,Engineer,3,10/28/2022,2,Bachelor,86981,41,6,93,13,5,4,0,0,2,No,Low,Medium
2131,Anjali Chatterjee,43,Male,Hyderabad,Marketing,Manager,12,10/1/2013,1,Bachelor,219241,49,6,23,12,22,5,0,0,2,No,Low,Medium
2132,Pallavi Joshi,43,Male,Hyderabad,HR,Team Lead,8,11/13/2017,4,Diploma,123012,52,11,33,6,23,4,1,0,3,Yes,Medium,Low
2133,Seema Bansal,42,Male,Noida,Finance,Senior Engineer,7,12/10/2018,5,Master,109966,51,4,2,0,10,3,0,0,2,No,Low,Medium
2134,Anjali Mukherjee,31,Female,Mumbai,Engineering,Senior Engineer,9,10/19/2016,5,Bachelor,115948,50,1,59,1,15,3,1,1,1,No,High,Medium
2135,Pooja Pandey,33,Male,Ahmedabad,Marketing,Engineer,1,12/31/2024,1,Bachelor,78236,45,3,81,13,8,3,1,0,1,No,Low,Medium
2136,Sneha Tiwari,31,Female,Pune,IT Support,Analyst,2,1/2/2024,0,Diploma,40126,58,4,1,7,34,2,0,1,2,No,Medium,Medium
2137,Ashish Deshpande,41,Female,Delhi,Legal,Senior Manager,19,9/16/2006,1,Diploma,250610,57,9,43,10,35,5,2,1,1,No,Medium,Medium
2138,Anjali Mehta,47,Female,Hyderabad,Legal,Team Lead,10,1/2/2016,3,Diploma,113018,54,7,38,5,11,4,0,0,3,Yes,Low,Medium
2139,Meena Rao,28,Female,Mumbai,Legal,Engineer,4,11/7/2021,4,Master,46655,44,9,85,4,12,4,1,0,2,No,Medium,Medium
2140,Karan Deshpande,26,Female,Delhi,Compliance,Engineer,1,10/15/2024,0,Diploma,76777,47,10,43,12,21,2,0,0,1,No,Low,Medium
2141,Rahul Sharma,40,Male,Chennai,Compliance,Analyst,1,9/15/2024,0,Master,47851,51,2,30,6,38,3,0,0,1,No,Low,Medium
2142,Shweta Rao,43,Female,Mumbai,Engineering,Team Lead,9,1/11/2017,5,Diploma,137211,50,11,109,0,13,4,0,2,2,No,Medium,Medium
2143,Ritu Mehta,38,Male,Bangalore,HR,Manager,10,11/4/2015,5,Bachelor,171848,51,5,0,11,31,3,2,1,1,No,Medium,Medium
2144,Tanya Chopra,33,Male,Mumbai,Sales,Team Lead,8,11/3/2017,5,Bachelor,108778,47,1,73,4,3,3,0,2,1,Yes,Medium,Medium
2145,Akash Pandey,41,Male,Gurgaon,HR,Executive,2,11/27/2023,0,Bachelor,23426,59,11,58,5,14,2,2,0,1,Yes,Medium,Medium
2146,Karan Chopra,40,Female,Ahmedabad,Legal,Team Lead,7,10/30/2018,4,Bachelor,146820,52,3,51,12,14,3,0,0,2,No,Low,Low
2147,Vikas Agarwal,27,Male,Delhi,Marketing,Engineer,3,10/4/2022,1,Bachelor,52410,53,7,46,3,31,3,0,0,1,No,Low,High
2148,Ankit Agarwal,44,Female,Mumbai,HR,Engineer,2,9/26/2023,2,Diploma,55420,43,6,106,1,11,2,1,1,1,No,High,High
2149,Sunita Mehta,44,Female,Chennai,HR,Senior Engineer,7,9/15/2018,5,Bachelor,100341,45,2,6,8,12,4,0,0,2,Yes,Medium,Low
2150,Arjun Mehta,39,Female,Mumbai,Legal,Senior Engineer,5,11/24/2020,3,Master,82216,41,9,5,3,9,4,0,0,1,No,Low,Medium
2151,Sunita Mukherjee,40,Male,Delhi,HR,Executive,0,12/24/2025,0,Master,33688,43,5,105,7,37,1,0,2,1,No,High,High
2152,Simran Tiwari,43,Male,Hyderabad,Compliance,Senior Engineer,6,11/24/2019,5,Bachelor,116670,50,2,40,12,3,4,0,1,2,No,Low,Medium
2153,Amit Rao,50,Female,Mumbai,Operations,Senior Engineer,6,8/25/2019,3,Master,94219,56,4,45,7,32,3,0,0,1,No,Low,High
2154,Karan Pandey,34,Female,Chennai,HR,Executive,1,7/29/2024,0,Bachelor,31989,41,4,42,14,32,2,0,2,1,No,High,High
2155,Vikas Tiwari,38,Female,Ahmedabad,IT Support,Analyst,3,10/29/2022,1,Bachelor,58713,43,7,39,8,2,4,1,1,3,No,Medium,Low
2156,Deepak Saxena,46,Male,Delhi,Sales,Engineer,4,11/4/2021,0,Bachelor,59843,52,9,6,2,7,4,1,0,3,Yes,Low,Low
2157,Prashant Pandey,53,Male,Pune,IT Support,Senior Engineer,9,12/2/2016,5,Bachelor,82133,54,11,27,7,4,4,1,0,3,No,Medium,Low
2158,Pooja Rao,25,Female,Bangalore,Operations,Engineer,3,12/8/2022,3,Diploma,58171,49,9,10,6,33,2,1,0,2,No,Medium,Low
2159,Neha Iyer,49,Male,Mumbai,Compliance,Engineer,5,8/26/2020,1,Master,88322,42,3,97,7,30,5,1,1,3,No,High,Low
2160,Arjun Gupta,46,Female,Noida,IT Support,Manager,16,11/21/2009,2,Master,195090,55,11,46,9,29,5,0,0,3,Yes,Low,Low
2161,Ashish Reddy,36,Female,Gurgaon,Sales,Analyst,0,7/25/2025,0,Bachelor,37673,58,9,67,8,19,2,2,0,1,No,Medium,Medium
2162,Ashish Deshpande,56,Male,Ahmedabad,Engineering,Senior Manager,14,1/6/2012,5,Bachelor,271783,50,11,32,13,39,5,0,1,3,No,Medium,Low
2163,Vikas Deshpande,34,Female,Bangalore,Legal,Team Lead,8,1/10/2018,1,Bachelor,138417,45,8,85,13,17,4,2,1,2,No,High,Medium
2164,Priya Kumar,43,Male,Delhi,Marketing,Analyst,3,8/28/2022,0,Master,55731,49,3,119,7,39,3,1,1,1,No,Medium,Medium
2165,Sanjay Sharma,54,Male,Noida,Sales,Team Lead,10,10/4/2015,0,Master,138470,52,4,22,0,14,4,0,0,2,Yes,Low,Low
2166,Manish Ghosh,32,Female,Pune,Marketing,Senior Engineer,8,11/13/2017,2,Bachelor,92021,49,3,73,2,12,4,3,0,3,Yes,Medium,Low
2167,Varun Pandey,48,Male,Ahmedabad,HR,Senior Engineer,4,8/31/2021,2,Bachelor,98219,44,3,34,8,23,4,0,2,1,No,High,High
2168,Manish Mukherjee,26,Female,Pune,Compliance,Analyst,1,10/15/2024,1,Master,51812,40,1,26,13,35,1,0,1,1,No,Low,High
2169,Tanya Rao,34,Male,Pune,IT Support,Senior Engineer,9,11/18/2016,5,Bachelor,118708,52,4,15,0,6,4,0,0,2,No,Low,Low
2170,Karan Singh,56,Female,Ahmedabad,Legal,Manager,15,10/10/2010,2,Master,169697,55,4,113,4,32,5,3,0,3,No,High,Medium
2171,Swati Chatterjee,29,Female,Hyderabad,Compliance,Engineer,1,10/26/2024,1,Diploma,76850,43,7,66,3,7,3,0,1,3,No,Medium,Low
2172,Sanjay Sharma,45,Male,Chennai,Marketing,Manager,11,7/31/2014,3,Bachelor,146970,40,9,104,4,20,5,2,0,4,No,Medium,Low
