EmployeeID,FullName,Email,Role,Department,Location,DateOfJoining,ManagerID,ManagerName,CasualLeaveBalance,CasualLeaveUsed,SickLeaveBalance,SickLeaveUsed,EarnedLeaveBalance,EarnedLeaveUsed,LastAppraisalDate,NextAppraisalDate,POSHTrainingCompleted,POSHTrainingDate,PerformanceRating,AnnualCTC_INR,EmploymentType,IsAdmin
EMP1038,Rahul Verma,rahul.verma@orbis.com,QA Engineer,Engineering,Noida,2024-10-30,EMP1003,Amit Mehta,0,12,2,8,12,6,2026-01-15,2027-01-15,Yes,2026-01-10,Exceeds Expectations,1292479,Full-Time,No
EMP1039,Shreya Kapoor,shreya.kapoor@orbis.com,Sales Executive,Sales,Pune,2026-06-24,EMP1004,Tanvi Menon,6,6,5,5,6,12,2026-01-15,2027-01-15,Yes,2026-01-10,Meets Expectations,1481739,Contract,No
EMP1040,Pooja Desai,pooja.desai@orbis.com,HR Business Partner,HR,Chennai,2019-01-02,EMP1005,Deepak Desai,8,4,6,4,12,6,2026-01-15,2027-01-15,No,,Needs Improvement,1526492,Contract,No
EMP1041,Yash Nair,yash.nair@orbis.com,Accounts Executive,Finance,Mumbai,2026-05-22,EMP1006,Rahul Malhotra,11,1,6,4,2,16,2026-01-15,2027-01-15,Yes,2026-01-10,Meets Expectations,1250996,Full-Time,No
EMP1042,Rohit Sharma,rohit.sharma@orbis.com,Financial Analyst,Finance,Noida,2021-09-29,EMP1006,Rahul Malhotra,5,7,1,9,16,2,2026-01-15,2027-01-15,No,,Meets Expectations,1405261,Contract,No
EMP1043,Neha Verma,neha.verma@orbis.com,Legal Associate,Legal,Remote,2020-03-12,EMP1009,Arjun Iyer,0,12,4,6,11,7,2026-01-15,2027-01-15,Yes,2026-01-10,Exceeds Expectations,1768964,Full-Time,No
EMP1044,Neha Pillai,neha.pillai@orbis.com,Sales Executive,Sales,Noida,2026-06-27,EMP1004,Tanvi Menon,4,8,2,8,8,10,2026-01-15,2027-01-15,No,,Needs Improvement,933778,Contract,No
EMP1045,Radhika Gupta,radhika.gupta@orbis.com,Support Team Lead,Customer Support,Gurgaon,2026-02-24,EMP1010,Sanjay Chatterjee,8,4,2,8,3,15,2026-01-15,2027-01-15,Yes,2026-01-10,Needs Improvement,762494,Full-Time,No
EMP1046,Meera Malhotra,meera.malhotra@orbis.com,Accounts Executive,Finance,Noida,2025-01-21,EMP1006,Rahul Malhotra,11,1,8,2,14,4,2026-01-15,2027-01-15,Yes,2026-01-10,Meets Expectations,1048691,Full-Time,No
EMP1047,Meera Desai,meera.desai@orbis.com,Compliance Officer,Legal,Noida,2024-03-23,EMP1009,Arjun Iyer,6,6,10,0,12,6,2026-01-15,2027-01-15,No,,Exceeds Expectations,1397716,Contract,No
EMP1048,Arjun Bose,arjun.bose@orbis.com,Senior Engineer,Engineering,Hyderabad,2023-09-13,EMP1003,Amit Mehta,4,8,2,8,11,7,2026-01-15,2027-01-15,No,,Meets Expectations,1514014,Contract,No
